image_id,operations
ISIC_0029060,"Brightness Normalization, Minimal Enhancement"
ISIC_0029308,"Brightness Normalization, CLAHE, Denoising"
ISIC_0024635,"Hair Removal, Brightness Correction, Denoising"
ISIC_0029425,Minimal Enhancement
ISIC_0028774,Brightness Correction
ISIC_0030565,"Hair Removal, Brightness Correction, Denoising"
ISIC_0027023,Minimal Enhancement
ISIC_0029022,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0025388,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0028080,CLAHE
ISIC_0026153,"Brightness Normalization, Minimal Enhancement"
ISIC_0025876,"Brightness Normalization, Minimal Enhancement"
ISIC_0025063,"Denoising, Minimal Enhancement"
ISIC_0032463,"Hair Removal, Brightness Correction"
ISIC_0025548,Minimal Enhancement
ISIC_0032306,Minimal Enhancement
ISIC_0032304,"Hair Removal, Brightness Normalization, CLAHE, Denoising"
ISIC_0031639,
ISIC_0027957,Minimal Enhancement
ISIC_0031212,Minimal Enhancement
ISIC_0032382,"Brightness Correction, Denoising"
ISIC_0027533,
ISIC_0029674,
ISIC_0028607,"Brightness Normalization, Minimal Enhancement"
ISIC_0024623,Minimal Enhancement
ISIC_0029613,"Hair Removal, Denoising"
ISIC_0029418,"Hair Removal, Denoising"
ISIC_0027455,"Brightness Normalization, CLAHE"
ISIC_0025906,
ISIC_0027151,"Hair Removal, Brightness Correction, CLAHE, Denoising"
ISIC_0028646,CLAHE
ISIC_0026794,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0034318,Minimal Enhancement
ISIC_0032972,Denoising
ISIC_0032534,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0033785,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0033184,"Hair Removal, Minimal Enhancement"
ISIC_0032929,"Hair Removal, Minimal Enhancement"
ISIC_0032963,"Brightness Normalization, CLAHE, Denoising, Minimal Enhancement"
ISIC_0032949,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0033322,"Brightness Correction, CLAHE"
ISIC_0033127,"Brightness Normalization, Minimal Enhancement"
ISIC_0033041,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0033900,
ISIC_0033361,
ISIC_0032732,Brightness Correction
ISIC_0032778,"Brightness Normalization, Minimal Enhancement"
ISIC_0033466,
ISIC_0030276,"Brightness Normalization, Minimal Enhancement"
ISIC_0033583,Minimal Enhancement
ISIC_0033465,"Brightness Normalization, Minimal Enhancement"
ISIC_0029683,"Brightness Correction, CLAHE"
ISIC_0033482,Minimal Enhancement
ISIC_0033201,CLAHE
ISIC_0032514,"Hair Removal, Brightness Correction, Denoising"
ISIC_0033691,"Hair Removal, Minimal Enhancement"
ISIC_0033910,
ISIC_0032556,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0033646,"Hair Removal, Denoising"
ISIC_0033592,CLAHE
ISIC_0033899,"Brightness Normalization, CLAHE"
ISIC_0032842,CLAHE
ISIC_0032618,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0032513,"Hair Removal, Brightness Correction, Denoising, Minimal Enhancement"
ISIC_0033716,"Hair Removal, Brightness Correction, Denoising, Minimal Enhancement"
ISIC_0034011,"Hair Removal, Brightness Correction, CLAHE, Denoising"
ISIC_0033613,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0032877,"Hair Removal, Brightness Correction, Denoising, Minimal Enhancement"
ISIC_0034175,CLAHE
ISIC_0033523,Minimal Enhancement
ISIC_0029929,"Brightness Correction, Denoising"
ISIC_0032978,
ISIC_0033973,Denoising
ISIC_0033761,CLAHE
ISIC_0033505,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0033280,"Hair Removal, Brightness Correction"
ISIC_0033212,
ISIC_0033770,CLAHE
ISIC_0032829,"Hair Removal, Denoising"
ISIC_0033601,Brightness Correction
ISIC_0033284,"Hair Removal, Brightness Correction, CLAHE, Denoising"
ISIC_0033908,
ISIC_0033400,CLAHE
ISIC_0033677,"Brightness Normalization, Minimal Enhancement"
ISIC_0033262,"Brightness Normalization, Minimal Enhancement"
ISIC_0033437,Brightness Correction
ISIC_0032688,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0033195,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0032553,
ISIC_0033252,"Denoising, Minimal Enhancement"
ISIC_0032570,CLAHE
ISIC_0033736,CLAHE
ISIC_0033378,"Brightness Normalization, Minimal Enhancement"
ISIC_0033379,CLAHE
ISIC_0033438,"Brightness Correction, CLAHE"
ISIC_0032983,"Hair Removal, Brightness Correction, Denoising"
ISIC_0034024,"Hair Removal, Brightness Correction, CLAHE, Denoising"
ISIC_0033778,"Hair Removal, Brightness Correction, CLAHE, Denoising"
ISIC_0032863,"Hair Removal, Brightness Correction, Denoising"
ISIC_0034168,"Brightness Normalization, Minimal Enhancement"
ISIC_0033582,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0033576,Hair Removal
ISIC_0033410,"Brightness Normalization, Minimal Enhancement"
ISIC_0032725,"Hair Removal, Brightness Normalization, Minimal Enhancement"
ISIC_0033952,Denoising
ISIC_0033264,
ISIC_0033606,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0034103,
ISIC_0032883,"Brightness Normalization, Minimal Enhancement"
ISIC_0032665,"Hair Removal, Brightness Normalization, Denoising"
ISIC_0033130,CLAHE
ISIC_0033321,"Brightness Normalization, Minimal Enhancement"
ISIC_0034189,"Brightness Normalization, Minimal Enhancement"
ISIC_0033306,"Hair Removal, Brightness Correction, Denoising"
ISIC_0032757,Minimal Enhancement
ISIC_0032508,Brightness Correction
ISIC_0034201,Brightness Correction
ISIC_0032776,Minimal Enhancement
ISIC_0033828,Minimal Enhancement
ISIC_0033235,"Brightness Normalization, Minimal Enhancement"
ISIC_0026085,Hair Removal
ISIC_0034070,
ISIC_0033709,"Brightness Normalization, CLAHE"
ISIC_0032826,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0034115,Minimal Enhancement
ISIC_0033776,"Hair Removal, Minimal Enhancement"
ISIC_0033056,
ISIC_0025180,CLAHE
ISIC_0026107,"Hair Removal, Brightness Correction, Denoising"
ISIC_0033853,"Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0033453,"Hair Removal, Denoising"
ISIC_0034126,Brightness Correction
ISIC_0033744,"Hair Removal, Brightness Correction, Denoising"
ISIC_0033659,CLAHE
ISIC_0032567,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0033088,"Hair Removal, Brightness Normalization, Denoising"
ISIC_0032756,"Hair Removal, Brightness Correction, Denoising"
ISIC_0032654,CLAHE
ISIC_0032576,CLAHE
ISIC_0033587,"Hair Removal, Denoising"
ISIC_0032675,"Hair Removal, Brightness Correction, Denoising, Minimal Enhancement"
ISIC_0032997,CLAHE
ISIC_0033529,Brightness Correction
ISIC_0033581,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0033913,"Hair Removal, Brightness Normalization, Minimal Enhancement"
ISIC_0034235,Brightness Correction
ISIC_0034007,Minimal Enhancement
ISIC_0034303,CLAHE
ISIC_0034031,"Hair Removal, Brightness Correction, Denoising"
ISIC_0033124,Denoising
ISIC_0033449,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0033676,CLAHE
ISIC_0032898,"Brightness Normalization, Minimal Enhancement"
ISIC_0033488,"CLAHE, Denoising"
ISIC_0033758,CLAHE
ISIC_0028792,"Brightness Normalization, CLAHE"
ISIC_0033397,
ISIC_0033414,"Hair Removal, Brightness Correction"
ISIC_0034113,"Hair Removal, Brightness Normalization, CLAHE, Denoising"
ISIC_0033507,"Hair Removal, CLAHE"
ISIC_0033791,CLAHE
ISIC_0034259,"CLAHE, Denoising"
ISIC_0033446,Minimal Enhancement
ISIC_0033200,Minimal Enhancement
ISIC_0029472,Minimal Enhancement
ISIC_0029682,Minimal Enhancement
ISIC_0033642,"Brightness Normalization, Minimal Enhancement"
ISIC_0033486,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0034003,Minimal Enhancement
ISIC_0033079,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0033629,"Hair Removal, Brightness Correction, Denoising"
ISIC_0034037,"Brightness Normalization, CLAHE"
ISIC_0032876,Brightness Correction
ISIC_0033635,Minimal Enhancement
ISIC_0033868,
ISIC_0034125,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0033060,"Hair Removal, CLAHE"
ISIC_0029014,"Brightness Normalization, CLAHE"
ISIC_0032099,"Brightness Correction, CLAHE"
ISIC_0032215,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0030124,"Hair Removal, Denoising"
ISIC_0025157,
ISIC_0029600,
ISIC_0031376,CLAHE
ISIC_0027513,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0031876,"Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0031620,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0030542,"Brightness Normalization, CLAHE"
ISIC_0029548,Brightness Correction
ISIC_0027989,"Brightness Correction, Denoising"
ISIC_0025136,Minimal Enhancement
ISIC_0027652,"Brightness Normalization, Minimal Enhancement"
ISIC_0027218,"Hair Removal, Brightness Correction, Minimal Enhancement"
ISIC_0030705,"Brightness Correction, CLAHE"
ISIC_0030272,Brightness Correction
ISIC_0028020,CLAHE
ISIC_0031345,Minimal Enhancement
ISIC_0032063,"Hair Removal, Brightness Correction"
ISIC_0032325,"Brightness Correction, Denoising"
ISIC_0025867,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0028701,"Brightness Normalization, Minimal Enhancement"
ISIC_0027713,"Brightness Normalization, Minimal Enhancement"
ISIC_0026060,"Brightness Normalization, Minimal Enhancement"
ISIC_0026298,"Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0027139,Minimal Enhancement
ISIC_0026623,"Brightness Normalization, CLAHE"
ISIC_0031989,
ISIC_0029394,"Brightness Correction, Minimal Enhancement"
ISIC_0026893,Minimal Enhancement
ISIC_0025777,"Hair Removal, CLAHE, Denoising"
ISIC_0027739,Minimal Enhancement
ISIC_0026844,"Brightness Correction, Denoising"
ISIC_0024672,Minimal Enhancement
ISIC_0026827,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0027680,CLAHE
ISIC_0025885,Minimal Enhancement
ISIC_0025656,Brightness Correction
ISIC_0029010,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0024581,CLAHE
ISIC_0029003,"Brightness Normalization, Minimal Enhancement"
ISIC_0024711,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0032280,"Hair Removal, Brightness Correction, CLAHE, Denoising"
ISIC_0025982,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0028120,Brightness Correction
ISIC_0032335,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0025326,
ISIC_0027374,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0027781,Minimal Enhancement
ISIC_0024890,"Hair Removal, Brightness Correction, Denoising"
ISIC_0025507,"Hair Removal, Brightness Correction, Denoising"
ISIC_0028336,Minimal Enhancement
ISIC_0025838,"Hair Removal, Brightness Correction, Denoising"
ISIC_0027780,Brightness Correction
ISIC_0024592,"Brightness Normalization, CLAHE"
ISIC_0030118,"Brightness Normalization, Minimal Enhancement"
ISIC_0028970,"Hair Removal, Denoising"
ISIC_0027042,
ISIC_0030721,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0031556,"Hair Removal, Brightness Correction, CLAHE"
ISIC_0027068,"Brightness Normalization, CLAHE"
ISIC_0032168,Brightness Correction
ISIC_0031130,"Hair Removal, Brightness Correction, Denoising"
ISIC_0028308,Minimal Enhancement
ISIC_0024708,"Brightness Normalization, Minimal Enhancement"
ISIC_0028354,Brightness Correction
ISIC_0024505,"Hair Removal, Brightness Correction, Denoising, Minimal Enhancement"
ISIC_0025743,
ISIC_0027796,"Brightness Normalization, Minimal Enhancement"
ISIC_0024626,"Brightness Normalization, CLAHE"
ISIC_0031321,"Brightness Correction, Minimal Enhancement"
ISIC_0025337,"Brightness Normalization, Minimal Enhancement"
ISIC_0027037,"Brightness Normalization, CLAHE"
ISIC_0032486,"Brightness Correction, Minimal Enhancement"
ISIC_0029340,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0027649,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0026607,Minimal Enhancement
ISIC_0030731,"Hair Removal, Denoising"
ISIC_0028233,"Hair Removal, Brightness Correction, Denoising"
ISIC_0031542,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0029062,"Hair Removal, Minimal Enhancement"
ISIC_0024971,CLAHE
ISIC_0025485,
ISIC_0025874,"Brightness Correction, CLAHE"
ISIC_0026728,Minimal Enhancement
ISIC_0031812,"Hair Removal, Brightness Correction, Denoising"
ISIC_0030465,
ISIC_0025842,"Hair Removal, Brightness Correction, Denoising"
ISIC_0025032,"Brightness Correction, Denoising, Minimal Enhancement"
ISIC_0030706,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0029522,CLAHE
ISIC_0031424,"Brightness Normalization, Minimal Enhancement"
ISIC_0029770,"Hair Removal, Brightness Normalization, Minimal Enhancement"
ISIC_0026301,Brightness Correction
ISIC_0030227,"Hair Removal, Denoising"
ISIC_0028856,"Brightness Normalization, CLAHE"
ISIC_0027026,CLAHE
ISIC_0030095,"Brightness Normalization, Minimal Enhancement"
ISIC_0031394,"Hair Removal, Denoising"
ISIC_0031060,CLAHE
ISIC_0027584,"Hair Removal, Minimal Enhancement"
ISIC_0026634,Minimal Enhancement
ISIC_0028496,CLAHE
ISIC_0027454,"Brightness Correction, Denoising"
ISIC_0031593,
ISIC_0026775,"Hair Removal, Denoising"
ISIC_0024412,"Brightness Normalization, Minimal Enhancement"
ISIC_0032348,
ISIC_0024883,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0027394,Brightness Correction
ISIC_0024773,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0027295,
ISIC_0032200,Minimal Enhancement
ISIC_0025583,"Brightness Normalization, Minimal Enhancement"
ISIC_0024358,Minimal Enhancement
ISIC_0030744,Minimal Enhancement
ISIC_0027771,"CLAHE, Denoising"
ISIC_0027344,Brightness Correction
ISIC_0028846,"Hair Removal, Brightness Correction, Denoising"
ISIC_0026159,CLAHE
ISIC_0027367,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0028952,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0024748,"Hair Removal, Denoising"
ISIC_0032156,"Hair Removal, Minimal Enhancement"
ISIC_0030783,CLAHE
ISIC_0028200,Minimal Enhancement
ISIC_0029100,"Hair Removal, Denoising"
ISIC_0027287,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0024494,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0026923,Minimal Enhancement
ISIC_0024445,"Brightness Normalization, Minimal Enhancement"
ISIC_0029358,"Brightness Correction, CLAHE"
ISIC_0031766,"Brightness Normalization, Minimal Enhancement"
ISIC_0030258,"Hair Removal, Brightness Correction"
ISIC_0030203,"Brightness Correction, CLAHE"
ISIC_0025297,
ISIC_0024676,"Brightness Normalization, Minimal Enhancement"
ISIC_0027606,"Brightness Normalization, Minimal Enhancement"
ISIC_0025703,Minimal Enhancement
ISIC_0032051,Brightness Correction
ISIC_0026443,"CLAHE, Denoising"
ISIC_0032481,
ISIC_0030459,Brightness Correction
ISIC_0029776,CLAHE
ISIC_0027996,"Brightness Correction, Minimal Enhancement"
ISIC_0024453,Minimal Enhancement
ISIC_0029519,"Brightness Normalization, Minimal Enhancement"
ISIC_0026644,"Brightness Normalization, Minimal Enhancement"
ISIC_0030522,
ISIC_0029051,
ISIC_0025985,Minimal Enhancement
ISIC_0026861,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0025830,Minimal Enhancement
ISIC_0031686,Minimal Enhancement
ISIC_0030208,"Brightness Normalization, Minimal Enhancement"
ISIC_0032006,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0028920,Minimal Enhancement
ISIC_0030723,"Brightness Correction, CLAHE"
ISIC_0032373,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0028555,CLAHE
ISIC_0029568,
ISIC_0029217,
ISIC_0028254,Minimal Enhancement
ISIC_0030561,
ISIC_0027320,Denoising
ISIC_0031591,"Hair Removal, Brightness Correction, CLAHE, Denoising"
ISIC_0025275,CLAHE
ISIC_0026606,"Brightness Correction, CLAHE"
ISIC_0025986,"Brightness Correction, CLAHE"
ISIC_0029108,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0028511,"Brightness Normalization, Minimal Enhancement"
ISIC_0026714,"Hair Removal, Brightness Correction, Minimal Enhancement"
ISIC_0028473,"Brightness Correction, Denoising"
ISIC_0025529,"Brightness Correction, CLAHE"
ISIC_0026481,"Brightness Normalization, Minimal Enhancement"
ISIC_0025075,CLAHE
ISIC_0030007,"Brightness Correction, CLAHE"
ISIC_0025928,"Hair Removal, Brightness Correction"
ISIC_0030812,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0029802,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0027969,
ISIC_0031770,Denoising
ISIC_0029557,Hair Removal
ISIC_0026661,"Hair Removal, Brightness Normalization, Minimal Enhancement"
ISIC_0032123,CLAHE
ISIC_0025805,"Brightness Normalization, Minimal Enhancement"
ISIC_0029166,"Brightness Normalization, CLAHE"
ISIC_0026018,CLAHE
ISIC_0026477,
ISIC_0029789,
ISIC_0030026,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0031851,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0030436,CLAHE
ISIC_0031819,"Hair Removal, Brightness Correction, Denoising"
ISIC_0027754,
ISIC_0024741,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0026286,Brightness Correction
ISIC_0024880,CLAHE
ISIC_0025659,CLAHE
ISIC_0026679,"Hair Removal, Denoising"
ISIC_0029420,CLAHE
ISIC_0032230,
ISIC_0029525,Minimal Enhancement
ISIC_0029474,Brightness Correction
ISIC_0027219,"Brightness Normalization, Minimal Enhancement"
ISIC_0032045,"Hair Removal, Brightness Correction, Denoising"
ISIC_0024381,"Brightness Correction, CLAHE"
ISIC_0026265,"Brightness Normalization, CLAHE"
ISIC_0024426,
ISIC_0031016,Minimal Enhancement
ISIC_0026044,CLAHE
ISIC_0027706,"Brightness Normalization, Minimal Enhancement"
ISIC_0024740,CLAHE
ISIC_0027801,"Brightness Normalization, CLAHE"
ISIC_0030346,"Hair Removal, Denoising"
ISIC_0026526,"Brightness Correction, CLAHE"
ISIC_0025376,Minimal Enhancement
ISIC_0029991,Denoising
ISIC_0024726,Minimal Enhancement
ISIC_0029603,
ISIC_0028100,Brightness Correction
ISIC_0031449,"Hair Removal, Denoising"
ISIC_0026842,Brightness Correction
ISIC_0026444,"Brightness Correction, Minimal Enhancement"
ISIC_0024422,
ISIC_0030649,"Brightness Normalization, Minimal Enhancement"
ISIC_0025746,"Brightness Correction, CLAHE"
ISIC_0032043,Brightness Correction
ISIC_0030806,Minimal Enhancement
ISIC_0028388,"Denoising, Minimal Enhancement"
ISIC_0029791,"Hair Removal, Denoising"
ISIC_0027806,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0031168,Minimal Enhancement
ISIC_0025575,"Hair Removal, Brightness Correction, Denoising"
ISIC_0025781,"Brightness Normalization, Minimal Enhancement"
ISIC_0024547,"Hair Removal, Brightness Correction, Denoising"
ISIC_0029249,Minimal Enhancement
ISIC_0030822,Minimal Enhancement
ISIC_0024758,Minimal Enhancement
ISIC_0030636,Denoising
ISIC_0027760,Hair Removal
ISIC_0026538,"Brightness Normalization, Minimal Enhancement"
ISIC_0024760,Brightness Correction
ISIC_0029897,"CLAHE, Minimal Enhancement"
ISIC_0024970,Minimal Enhancement
ISIC_0027006,CLAHE
ISIC_0029596,Minimal Enhancement
ISIC_0025351,Minimal Enhancement
ISIC_0028881,"Brightness Normalization, Minimal Enhancement"
ISIC_0029580,"Hair Removal, Brightness Correction, Denoising"
ISIC_0027527,Minimal Enhancement
ISIC_0028972,"Hair Removal, Denoising"
ISIC_0031078,Brightness Correction
ISIC_0031464,Hair Removal
ISIC_0025693,"Hair Removal, Brightness Correction, Denoising"
ISIC_0032116,CLAHE
ISIC_0027451,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0030329,CLAHE
ISIC_0029311,"Hair Removal, Brightness Correction, Denoising"
ISIC_0026849,CLAHE
ISIC_0030396,"Hair Removal, Brightness Correction, Minimal Enhancement"
ISIC_0024893,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0031702,"Brightness Normalization, CLAHE"
ISIC_0029031,Minimal Enhancement
ISIC_0024772,"Brightness Correction, CLAHE"
ISIC_0026219,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0025222,Minimal Enhancement
ISIC_0029139,"Hair Removal, Denoising"
ISIC_0031061,"Brightness Normalization, Minimal Enhancement"
ISIC_0025973,"Hair Removal, Brightness Normalization, Minimal Enhancement"
ISIC_0025086,Brightness Correction
ISIC_0026895,CLAHE
ISIC_0025716,
ISIC_0024471,"Brightness Correction, CLAHE"
ISIC_0029878,CLAHE
ISIC_0027991,
ISIC_0031289,"Brightness Correction, CLAHE, Denoising"
ISIC_0030172,"Hair Removal, Brightness Correction, Denoising"
ISIC_0025627,
ISIC_0031580,
ISIC_0028389,"Hair Removal, Denoising"
ISIC_0025064,Minimal Enhancement
ISIC_0028750,"Hair Removal, Denoising"
ISIC_0030758,"Hair Removal, CLAHE, Denoising"
ISIC_0027355,Minimal Enhancement
ISIC_0030365,Minimal Enhancement
ISIC_0026787,Hair Removal
ISIC_0026245,
ISIC_0028043,"Hair Removal, Minimal Enhancement"
ISIC_0028640,"Hair Removal, Brightness Correction, Denoising"
ISIC_0026514,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0026378,Denoising
ISIC_0030188,"Brightness Normalization, Minimal Enhancement"
ISIC_0027192,"Brightness Correction, CLAHE"
ISIC_0027437,"Hair Removal, Brightness Correction, Denoising"
ISIC_0028201,CLAHE
ISIC_0028223,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0026614,"Brightness Correction, CLAHE"
ISIC_0029810,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0028550,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0024477,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0026493,"Hair Removal, Brightness Correction"
ISIC_0028840,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0029678,"Brightness Correction, CLAHE"
ISIC_0031937,Minimal Enhancement
ISIC_0025719,"Brightness Correction, Denoising, Minimal Enhancement"
ISIC_0029260,"Hair Removal, Brightness Normalization, Minimal Enhancement"
ISIC_0030683,"Brightness Normalization, CLAHE"
ISIC_0028237,CLAHE
ISIC_0029585,CLAHE
ISIC_0027990,"Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0025883,"Brightness Normalization, CLAHE, Minimal Enhancement"
ISIC_0026290,"Brightness Correction, CLAHE"
ISIC_0031050,"Hair Removal, Brightness Normalization, Denoising, Minimal Enhancement"
ISIC_0024997,"Brightness Normalization, Minimal Enhancement"
ISIC_0024761,Minimal Enhancement
ISIC_0030876,"Hair Removal, Denoising"
ISIC_0024982,"Hair Removal, Denoising, Minimal Enhancement"
ISIC_0029126,"Brightness Normalization, Minimal Enhancement"
ISIC_0028702,"Hair Removal, Brightness Correction, Minimal Enhancement"
